cluster_id,algorithm,suggested_name,manual_name,cluster_quality,route_policy,notes
lab-cluster-351,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-352,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-355,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-356,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-358,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-36,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-4,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-40,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-43,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-46,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-47,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-58,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-60,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-61,bm25_token_overlap_baseline,needs_link_enrichment_resource_link,,,,
lab-cluster-68,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-70,bm25_token_overlap_baseline,needs_link_enrichment_resource_link,,,,
lab-cluster-8,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-80,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-81,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-82,bm25_token_overlap_baseline,needs_link_enrichment_internal_telegram_link,,,,
lab-cluster-83,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-87,bm25_token_overlap_baseline,needs_link_enrichment_social_media_link,,,,
lab-cluster-91,bm25_token_overlap_baseline,needs_link_enrichment_link_share,,,,
lab-cluster-93,bm25_token_overlap_baseline,needs_link_enrichment_resource_link,,,,
lab-cluster-155,bm25_token_overlap_baseline,retain_context_only_model_rumor_or_pricing_claim,,,,
lab-cluster-229,bm25_token_overlap_baseline,retain_context_only_weak_signal,,,,
lab-cluster-275,bm25_token_overlap_baseline,retain_context_only_model_rumor_or_pricing_claim,,,,
lab-cluster-292,bm25_token_overlap_baseline,retain_context_only_career_job_post,,,,
lab-cluster-295,bm25_token_overlap_baseline,retain_context_only_career_job_post,,,,
lab-cluster-321,bm25_token_overlap_baseline,retain_context_only_model_rumor_or_pricing_claim,,,,
