lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-03879,snapshot-2e5c3804a503,21597,21597,-1001204511390,-1001204511390,,1,1,,,2026-06-29T18:14:38+00:00,MODERATION_BOT_EVENT,HARD_NO_MATERIAL,REJECT_SAFE,moderation_or_ban_bot_event;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.930,rules_onboarding_marker,,,,39,false,false,false,"⛔ Неля Калинина, тебя заблокировали (antifolder) Сообщение содержит бессмысленные символы и подозрительную ссылку, что характерно для спама. (посмотреть сообщение) Пользователь попытался вступить через общую папку с чатами — приём, которым часто пользуются спамеры для массовых вх"
msg-03931,snapshot-2e5c3804a503,21540,21540,-1001204511390,-1001204511390,,1,1,,,2026-06-29T17:59:34+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,94,false,false,false,"Мила Алимкина, приветствуем вас в группе Russian IT in Dubai, в которой обсуждается всё, что может быть интересно русскоязычным представителям IT-индустрии, уже работающим или планирующим переезд в Объединённые Арабские Эмираты. ВАЖНО: При добавлении в группу напишите о себе / о "
msg-04129,snapshot-2e5c3804a503,21310,21310,-1002165514145,-1002165514145,,770475819008,770475819008,,,2026-06-29T17:23:55+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,app.prntscr.com,,,66,true,false,false,"Kirill, перед тем как писать в чат - прочитай правила 1. Запрещено отправлять ФОТО экрана, отправляй только скриншоты. Их можно сделать по кнопке Prtscn или через приложение https://app.prntscr.com 2. Запрещено спамить реф ссылками (нативно, с качественным текстом один раз отправ"
msg-04196,snapshot-2e5c3804a503,21239,21239,-1002165514145,-1002165514145,,770441216000,770441216000,,,2026-06-29T17:17:36+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,app.prntscr.com,,,66,true,false,false,"Роман, перед тем как писать в чат - прочитай правила 1. Запрещено отправлять ФОТО экрана, отправляй только скриншоты. Их можно сделать по кнопке Prtscn или через приложение https://app.prntscr.com 2. Запрещено спамить реф ссылками (нативно, с качественным текстом один раз отправи"
msg-04202,snapshot-2e5c3804a503,21233,21233,-1001594483330,-1001594483330,,1,1,Флуд,,2026-06-29T17:17:10+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,49,false,false,false,"Добро пожаловать в стаю, @Da_Rome! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг по "
msg-04268,snapshot-2e5c3804a503,21158,21158,-1001870785614,-1001870785614,,1,1,,,2026-06-29T17:07:15+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @MaMoHT88! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг по"
msg-04270,snapshot-2e5c3804a503,21155,21155,-1002165514145,-1002165514145,,770437021696,770437021696,,,2026-06-29T17:06:54+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,app.prntscr.com,,,68,true,false,false,"GS Alpha Chat, перед тем как писать в чат - прочитай правила 1. Запрещено отправлять ФОТО экрана, отправляй только скриншоты. Их можно сделать по кнопке Prtscn или через приложение https://app.prntscr.com 2. Запрещено спамить реф ссылками (нативно, с качественным текстом один раз"
msg-04314,snapshot-2e5c3804a503,21109,21109,-1001600514961,-1001600514961,,23143120896,23143120896,,,2026-06-29T16:57:17+00:00,MODERATION_BOT_EVENT,HARD_NO_MATERIAL,REJECT_SAFE,moderation_or_ban_bot_event;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.930,rules_onboarding_marker,,,,19,false,false,false,"⛔ id8688769513, тебя заблокировали (Lols Ban) Пользователь отмечен к глобальной блокировке в боте (Lols ban) — подробнее о том, что делать в таком случае, можно почитать по ссылке."
msg-04449,snapshot-2e5c3804a503,20967,20967,-1001750092257,-1001750092257,,32291946496,32291946496,,,2026-06-29T16:28:58+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @akcionr! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг по "
msg-04561,snapshot-2e5c3804a503,20848,20848,-1002922797592,-1002922797592,,1,1,Основной,,2026-06-29T16:16:52+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,9,false,false,false,"Даня, прежде чем писать в этом чате, подтвердите, что ознакомились с правилами."
msg-04563,snapshot-2e5c3804a503,20846,20846,-1001204511390,-1001204511390,,1,1,,,2026-06-29T16:16:04+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,94,false,false,false,"Ария Устинова, приветствуем вас в группе Russian IT in Dubai, в которой обсуждается всё, что может быть интересно русскоязычным представителям IT-индустрии, уже работающим или планирующим переезд в Объединённые Арабские Эмираты. ВАЖНО: При добавлении в группу напишите о себе / о "
msg-04591,snapshot-2e5c3804a503,20817,20817,-1002922797592,-1002922797592,,1,1,Основной,,2026-06-29T16:08:41+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,5,false,false,false,"­ ­­, сначала ознакомьтесь с правилами и нажмите ""Я соглашаюсь""."
msg-04617,snapshot-2e5c3804a503,20787,20787,-1002165514145,-1002165514145,,770405564416,770405564416,,,2026-06-29T15:58:16+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,app.prntscr.com,,,65,true,false,false,"@, перед тем как писать в чат - прочитай правила 1. Запрещено отправлять ФОТО экрана, отправляй только скриншоты. Их можно сделать по кнопке Prtscn или через приложение https://app.prntscr.com 2. Запрещено спамить реф ссылками (нативно, с качественным текстом один раз отправить м"
msg-04629,snapshot-2e5c3804a503,20770,20770,-1001112986405,-1001112986405,,17684234240,17684234240,,,2026-06-29T15:54:55+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,31,false,false,false,"Привет, Катя! Добро пожаловать в чат «AI | Data Science | Machine learning»! Обязательно нажмите на кнопку иначе бот удалит вас из чата! Соблюдайте Правила группы. Любое нарушение наказуемо баном. И так же прочитайте закреп полностью."
msg-04638,snapshot-2e5c3804a503,20761,20761,-1001204511390,-1001204511390,,259184,259184,,,2026-06-29T15:53:33+00:00,MODERATION_BOT_EVENT,HARD_NO_MATERIAL,REJECT_SAFE,moderation_or_ban_bot_event;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.930,rules_onboarding_marker,,,,7,false,false,false,Пишите с анонимного аккаунта лучше. Спасибо за предупреждение
msg-04646,snapshot-2e5c3804a503,20751,20751,-1001600514961,-1001600514961,,23139975168,23139975168,,,2026-06-29T15:50:30+00:00,MODERATION_BOT_EVENT,HARD_NO_MATERIAL,REJECT_SAFE,moderation_or_ban_bot_event;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.930,rules_onboarding_marker,,,,20,false,false,false,"⛔ denis qx1, тебя заблокировали (Lols Ban) Пользователь отмечен к глобальной блокировке в боте (Lols ban) — подробнее о том, что делать в таком случае, можно почитать по ссылке."
msg-04733,snapshot-2e5c3804a503,20656,20656,-1001750348316,-1001750348316,,533286879232,533286879232,,,2026-06-29T15:34:08+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,53,false,false,false,"@rapido180 Добро пожаловать! Этот чат станет для тебя теплой ламповой пещерой, где ты сможешь пообщаться на (почти) любые темы. Не стесняйся задавать вопросы, но возможно стоит сразу пойти в тематический чат. Если что, мы перенаправим тебя в нужную микростаю, где ты получишь необ"
msg-04753,snapshot-2e5c3804a503,20633,20633,-1001689325273,-1001689325273,,1,1,,,2026-06-29T15:32:24+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @etozhemaximka! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онборди"
msg-04903,snapshot-2e5c3804a503,20472,20472,-1001879618621,-1001879618621,,10154409984,10154409984,,,2026-06-29T15:16:22+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @aasadullin_web! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онборд"
msg-04946,snapshot-2e5c3804a503,20428,20428,-1001689325273,-1001689325273,,1,1,,,2026-06-29T15:11:25+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @aaaaaaaarrrrrrrttt! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди он"
msg-05000,snapshot-2e5c3804a503,20371,20371,-1003922856266,-1003922856266,,41263,41263,,,2026-06-29T15:07:46+00:00,MODERATION_BOT_EVENT,HARD_NO_MATERIAL,REJECT_SAFE,moderation_or_ban_bot_event;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.930,rules_onboarding_marker,,,,14,false,false,false,бочка плова это конечно жирно✅ но я не такой тупой чтобы за еду в бан улететь👍 da.✅
msg-05219,snapshot-2e5c3804a503,20114,20114,-1001594483330,-1001594483330,,1,1,Флуд,,2026-06-29T14:41:39+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,49,false,false,false,"Добро пожаловать в стаю, @dereksifono! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг"
msg-05294,snapshot-2e5c3804a503,20034,20034,-1002165514145,-1002165514145,,770392981504,770392981504,,,2026-06-29T14:35:54+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,app.prntscr.com,,,67,true,false,false,"Shanmugapriya Veeramani, перед тем как писать в чат - прочитай правила 1. Запрещено отправлять ФОТО экрана, отправляй только скриншоты. Их можно сделать по кнопке Prtscn или через приложение https://app.prntscr.com 2. Запрещено спамить реф ссылками (нативно, с качественным тексто"
msg-05335,snapshot-2e5c3804a503,19994,19994,-1001870785614,-1001870785614,,1,1,,,2026-06-29T14:30:47+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,40,false,false,false,"Добро пожаловать в стаю, @whisperwa! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг п"
msg-05340,snapshot-2e5c3804a503,19988,19988,-1001204511390,-1001204511390,,1,1,,,2026-06-29T14:30:21+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,93,false,false,false,"Амелия, приветствуем вас в группе Russian IT in Dubai, в которой обсуждается всё, что может быть интересно русскоязычным представителям IT-индустрии, уже работающим или планирующим переезд в Объединённые Арабские Эмираты. ВАЖНО: При добавлении в группу напишите о себе / о вашей к"
msg-05386,snapshot-2e5c3804a503,19938,19938,-1001494296252,-1001494296252,,1,1,,,2026-06-29T14:23:30+00:00,RULES_ONBOARDING,HARD_NO_MATERIAL,REJECT_SAFE,rules_or_onboarding_template;hard_rule_never_material_rules_onboarding_or_moderation,LOW,NONE,0.960,rules_onboarding_marker,,,,45,false,false,false,"Добро пожаловать в стаю, @a_Randir! Помощник ОМ — это твой путеводитель по сообществу. Внутри ты найдешь: - базу знаний - список всех доступных чатов и ресурсов - контакты поддержки, где всегда можно задать вопрос - карту всего вышедшего контента ❗️Обязательно пройди онбординг по"
