lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-04666,snapshot-2e5c3804a503,20730,20730,-1003919536687,-1003919536687,,6654,6654,404 - АВАРИИ,,2026-06-29T15:45:49+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,15,false,true,false,Api недоступен: stream disconnected before completion: stream closed before response.completed 18:40 из codex
msg-04848,snapshot-2e5c3804a503,20530,20530,-1001980802575,-1001980802575,,,,,,2026-06-29T15:24:33+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,GUIDE,0.915,workflow_howto_marker,,,,230,false,false,false,"Самые сильные люди, с которыми мне доводилось работать, почти никогда не делают только то, что написано в задаче🙃 И это одна из самых ценных вещей в работе - когда человек делает чуть больше, чем его просили Но не в формате переработок, ночных созвонов и прочего трудового героизм"
msg-05157,snapshot-2e5c3804a503,20194,20194,-1003922856266,-1003922856266,,142,142,Флудилка,,2026-06-29T14:50:08+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,9,false,true,false,"да, работай на меня, для трудоустройства назови свой url и api ключ"
msg-05590,snapshot-2e5c3804a503,19723,19723,-1003919536687,-1003919536687,,1292,1292,Оффтоп,,2026-06-29T13:48:06+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,6,false,true,false,Для тех кто вне РФ api будет стабильнее
msg-05611,snapshot-2e5c3804a503,19703,19703,-1003919536687,-1003919536687,,1292,1292,Оффтоп,,2026-06-29T13:46:24+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;question_or_qna_shape;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,api_troubleshooting_marker,,,,9,false,true,false,а нафиг тогда нужен api? если всегда говоришь на r-api переходить?)))
msg-05642,snapshot-2e5c3804a503,19672,19672,-1003919536687,-1003919536687,,1292,1292,Оффтоп,,2026-06-29T13:43:12+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,6,false,true,false,"r-api переключи, скорее всего в этом проблема"
msg-05730,snapshot-2e5c3804a503,19578,19578,-1002165514145,-1002165514145,,770368864256,770368864256,,,2026-06-29T13:26:15+00:00,DIGEST_NEWS,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,resource_or_tool_terms;status_or_outage_terms;question_or_qna_shape;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.880,outage_status_marker,,,FOMO,138,false,false,false,"Лекарство от ИИ-паралича: единственный способ не проиграть 🧠 [Обобщающий пост и мысли из статьи, не дословно] «Раньше каждый новый релиз вызывал панику. Теперь я просто иду и пробую. FOMO уходит, когда перестаёшь быть наблюдателем», — говорит московский разработчик. Парадокс ИИ-г"
msg-05903,snapshot-2e5c3804a503,19393,19393,393276450,393276450,,,,,,2026-06-29T12:45:31+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;interview_or_product_design_task;moderate_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,GUIDE,0.875,workflow_howto_marker,,,,39,false,false,false,"Привет! Увидел тебя в чате ОМ, я вот тоже интересуюсь всей этой темой увеличения дохода Стало интересно про валютную удаленку и как будто самое вкусное это Дубай) Но пока что вообще не понимаю как там искать работу, например, Java Dev Да и удаленки нет Буду благодарен за любую бе"
msg-06064,snapshot-2e5c3804a503,19214,19214,-1001204511390,-1001204511390,,485896,485896,,,2026-06-29T12:24:08+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.875,model_pricing_marker,"github.com,linkedin.com,vanekt.github.io",claude,,109,true,true,true,"Всем привет! Меня зовут Иван, Senior Frontend / Full Stack Engineer. Сейчас живу в Буэнос-Айресе и ищу новую позицию, удалённо. Подстроюсь под часовой пояс команды. Стек: - JavaScript, TypeScript, React, Vue 3, Next.js, React Native, Redux, Zustand, TanStack Query - Node.js, Go, "
msg-06544,snapshot-2e5c3804a503,18701,18701,-1003919536687,-1003919536687,,5800,5800,Codex App,,2026-06-29T10:38:36+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,11,false,true,false,"Нет, работает. Ты ж не на r-api в итоге. Возможно впн твой шалит"
msg-07023,snapshot-2e5c3804a503,18212,18212,-1003922856266,-1003922856266,,24,24,Инфополе[ШУМ],,2026-06-29T09:33:31+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;moderate_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,api_troubleshooting_marker,,,,42,false,true,false,"🎨 Растениям выдали голос ChatGPT. OpenAI выложила PlantTalk — проект, где комнатное растение можно превратить в собеседника. Нужны ноутбук, камера, микрофон и доступ к API. Система смотрит на растение, слушает вопрос и отвечает голосом. Можно добавить датчики влажности почвы и св"
msg-07148,snapshot-2e5c3804a503,18074,18074,-1003919536687,-1003919536687,,4807,4807,Проекты от вайбкодеров для вайбкодеров,,2026-06-29T09:14:10+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;interview_or_product_design_task;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.925,api_troubleshooting_marker,,,,9,false,true,false,Агенты на API Vibemod пишут интернет магазин - посмотрим что выйдет)
msg-07681,snapshot-2e5c3804a503,17517,17517,-1003922856266,-1003922856266,,30,30,Verified guide,,2026-06-29T08:13:42+00:00,TECH_SIGNAL,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,technical_or_code_terms;resource_or_tool_terms;status_or_outage_terms;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.950,workflow_howto_marker,,,,427,false,false,false,"Промпт-инжиниринг и loop engineering. Простое объяснение По своей сути агент это цикл while: - Модель выполняется - Она запрашивает вызовы инструментов - Результаты работы инструментов возвращаются в контекст - Модель запускается снова, пока не перестанет запрашивать инструменты "
msg-07844,snapshot-2e5c3804a503,17346,17346,866341216,866341216,,,,,,2026-06-29T07:30:49+00:00,OUTAGE_STATUS,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,guide_intent;technical_or_code_terms;resource_or_tool_terms;status_or_outage_terms;concrete_outage_or_error_status;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,GUIDE,0.950,workflow_howto_marker,,,"401,404,429",68,false,true,false,Как проверить OpenAI-compatible API в Cursor: 1) base URL должен заканчиваться на /v1; 2) auth header Bearer должен брать ключ из переменной окружения; 3) model id нужно сверить с ответом GET /models у провайдера; 4) если API возвращает 401 — проблема почти всегда в ключе или фор
msg-07907,snapshot-2e5c3804a503,17283,17283,-1002165514145,-1002165514145,,770173829120,770173829120,,,2026-06-29T07:04:49+00:00,DIGEST_NEWS,REVIEW_SIGNAL_OR_DISCUSSION,REVIEW_HIGH_RECALL,resource_or_tool_terms;interview_or_product_design_task;substantial_text;technical_or_resource_candidate_retained_for_context_evidence_review,LOW,REFERENCE,0.880,workflow_howto_marker,,,,120,false,false,false,"⚡️ Вайбкодеры, общий сбор! Яндекс запустил сервис вайбкодинга Vibecraft, в котором можно создавать сайты и прототипы приложений без навыков разработки. Нужно лишь описать желаемый результат, и дальше нейросеть воплотит его в жизнь. Поэтому мы объявляем конкурс вайбкодинга! Всё пр"
