lab_message_id,snapshot_id,raw_id,dataset_message_id,telegram_chat_id,chat_id,chat_title,topic_id,thread_id,topic_title,reply_to,timestamp,primary_class,classifier_route,route,route_reason,risk,material_type_hint,confidence,marker_id,domains,model_names,error_codes,length_tokens,has_link,has_api_terms,has_code,preview
msg-09030,snapshot-2e5c3804a503,16060,16060,-1001213290552,-1001213290552,,1,1,,,2026-06-28T11:16:01+00:00,EVENT_ANNOUNCEMENT,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,event_or_meetup_announcement_not_material;job_or_event_single_source_not_material,LOW,NONE,0.800,job_event_marker,,,,127,false,false,false,ewbusinessclub.timepad.ru Старый покупатель закончился: что показывают данные и где поможет AI / События на TimePad.ru Открытый онлайн-вебинар от EcomWeekend Club Старый покупатель закончился: что показывают данные и где поможет AI Онлайн-вебинар от EcomWeekend Club посвящен поис
msg-09069,snapshot-2e5c3804a503,16013,16013,-1001594483330,-1001594483330,,11582,11582,Накрутка опыта,,2026-06-28T10:12:55+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,24,false,false,false,"Да, рекрутеры могут видеть историю изменений. Номинально заявляется что они могут сравнивать только версии резюме которыми к ним откликались, но есть серьезные подозрения что они видят все подряд, даже скрытое"
msg-09071,snapshot-2e5c3804a503,16012,16012,-1001594483330,-1001594483330,,11582,11582,Накрутка опыта,,2026-06-28T10:11:41+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,8,false,false,false,а рекрутеры могут видеть историю изминений резюме или я не так понял?
msg-10015,snapshot-2e5c3804a503,14772,14772,-1001594483330,-1001594483330,,1,1,Флуд,,2026-06-27T20:47:40+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,27,false,false,false,"Всем привет, подскажите пожалуйста, есть ссылка на ответы на вопросы от HR и на вопросы вакансии из HH. В боте искал, ниче попутного не выдало. Мож есть у кого че"
msg-10941,snapshot-2e5c3804a503,13805,13805,-1001594483330,-1001594483330,,11582,11582,Накрутка опыта,,2026-06-27T19:21:40+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,67,false,false,false,"Если номер телефона одинаковый но он скрыт, то все равно резюме будут объединяться в одно с историей изменений По одинаковому телеграму в официально афишируемых документациях на ATS информации нет, но возможно есть/будут какие-то непубличные алгоритмы объединения Рекомендуется вс"
msg-10986,snapshot-2e5c3804a503,13757,13757,-1001594483330,-1001594483330,,11582,11582,Накрутка опыта,,2026-06-27T19:06:23+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,18,false,false,false,"Всем привет! Подскажите, если использовать один и тот же телеграмм аккаунт для разных резюме (в разное время, но поменять ник) - это как-то трекается?"
msg-11044,snapshot-2e5c3804a503,13605,13605,-1001594483330,-1001594483330,,11582,11582,Накрутка опыта,,2026-06-27T17:11:09+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,148,false,false,false,"Если кратко то СБ везде разное, в бигтехах есть отдельное подразделение, а в некоторых компаниях сама HR для галочки пару пунктов пробивает. Чаще встречается отдельное подразделение, им пофиг на накрутку но важно чтобы ты не был потенциальной угрозой для данных компании и т.д. по"
msg-11045,snapshot-2e5c3804a503,13604,13604,-1001594483330,-1001594483330,,11582,11582,Накрутка опыта,,2026-06-27T16:41:07+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,51,false,false,false,"Добрый вечер. Смотрел видео назара про обход АТС и сб - ну там ноль про сб. Вот только закончил смотреть. Искал по ключевым словам но не особо разобрался , в общем последний вариант уже написать по факту. В анкету сб что писать то, реальные данные или с резюме ? И что это за инте"
msg-11123,snapshot-2e5c3804a503,13603,13603,-1001594483330,-1001594483330,,1,1,Флуд,,2026-06-27T12:24:32+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,41,false,false,false,"Ребят, есть инфа у кого-нибудь Какие сервисы подойдут для покупки европейского номера для Linkedin и HR из Европы? Просто по идее они должны связываться в WhatsApp по номеру, а РФ номер не подойдёт для таких сценариев - не оч для них будет выглядить Где вы покупали номер и есть л"
msg-11135,snapshot-2e5c3804a503,13602,13602,-1001594483330,-1001594483330,,11429,11429,Резюме,,2026-06-27T11:39:32+00:00,CAREER_JOB_POST,RETAIN_CONTEXT_ONLY,AGGREGATE_ONLY,job_or_career_post_not_material;job_or_event_single_source_not_material,LOW,NONE,0.820,job_event_marker,,,,38,false,false,false,"Добрый день, подскажите, насколько обращают внимание hr на непрофильное образование, если реального опыта уже 7 лет? Для HH лучше указывать в этом плане всю инфу (Высшее + название вуза полное + факультет + специальность) или же сократить информацию максимально до Высшее + сокращ"
